"Species","AgeClass","BACI.eff","n.years.b","n.years.a","n.sites.per.year","alpha","scenario","sd.Year","sd.Stream","sd.StreamYear","sd.Resid","sd.WS.BACI","nsw_T","nsw_C","sdSite","sdYear","sdSiteYear","sdResid","sdWS.BACI","n_TA","n_TB","n_CA","n_CB","ns_T","ns_C","ny_B","ny_A","mu_TA","mu_TB","mu_CA","mu_CB","baci","dfdenom","ncp","Fcrit","ts.power","Tcrit","os.power.a","os.power.b"
"BKTR","AllAges",0.693147180559945,5,4,10,0.05,17931,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,5,4,0.693147180559945,0,0,0,0.693147180559945,71,1.41156446239884,3.97581015417556,0.216244357061033,1.66659965832853,0.319863677973327,0.00238826475249221
"BLTR","Immature",0.693147180559945,5,4,10,0.05,17934,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,5,4,0.693147180559945,0,0,0,0.693147180559945,71,1.3233206527017,3.97581015417556,0.205633997874811,1.66659965832853,0.306619662126149,0.00268176327677294
"BLTR","Mature",0.693147180559945,5,4,10,0.05,17937,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,5,4,0.693147180559945,0,0,0,0.693147180559945,71,1.29645883783802,3.97581015417556,0.20240309523602,1.66659965832853,0.30255086544648,0.00277946091964187
"BKTR","AllAges",1.09861228866811,5,4,10,0.05,17942,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,5,4,1.09861228866811,0,0,0,1.09861228866811,71,3.54599973703631,3.97581015417556,0.459298377640309,1.66659965832853,0.587158071069269,0.000223878777447784
"BLTR","Immature",1.09861228866811,5,4,10,0.05,17945,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,5,4,1.09861228866811,0,0,0,1.09861228866811,71,3.32432192187699,3.97581015417556,0.435988314539248,1.66659965832853,0.563955518825015,0.000279302144788662
"BLTR","Mature",1.09861228866811,5,4,10,0.05,17948,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,5,4,1.09861228866811,0,0,0,1.09861228866811,71,3.25684219213014,3.97581015417556,0.428781466754308,1.66659965832853,0.556690835175008,0.000298988745817796
"BKTR","AllAges",0.693147180559945,2,5,10,0.05,17953,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,2,5,0.693147180559945,0,0,0,0.693147180559945,53,1.39554194330007,4.02301699773367,0.212768338189755,1.6741162367031,0.316111861198176,0.00246715759829075
"BLTR","Immature",0.693147180559945,2,5,10,0.05,17956,0.143742733693192,0.743194864601529,0.0696139883923644,1.15087804362036,0.5,1,2,0.743194864601529,0.143742733693192,0.0696139883923644,1.15087804362036,0.5,10,10,10,10,3,7,2,5,0.693147180559945,0,0,0,0.693147180559945,53,1.26578117883584,4.02301699773367,0.197307073848545,1.6741162367031,0.296622925379208,0.00292802213637378
"BLTR","Mature",0.693147180559945,2,5,10,0.05,17959,5.05652647034668e-09,0.143380651120723,0.252491741697289,1.04069369806768,0.5,1,2,0.143380651120723,5.05652647034668e-09,0.252491741697289,1.04069369806768,0.5,10,10,10,10,3,7,2,5,0.693147180559945,0,0,0,0.693147180559945,53,1.22796288301979,4.02301699773367,0.192800423508488,1.6741162367031,0.290866346963069,0.00308119999104317
"BKTR","AllAges",1.09861228866811,2,5,10,0.05,17964,0.142345588793919,0.491173747581474,0.0186718177732969,0.566819724469944,0.5,1,2,0.491173747581474,0.142345588793919,0.0186718177732969,0.566819724469944,0.5,10,10,10,10,3,7,2,5,1.09861228866811,0,0,0,1.09861228866811,53,3.5057494686112,4.02301699773367,0.451698522551504,1.6741162367031,0.58063997253339,0.000238190035501185
